KANSAS HOUSE DISTRICT 047,GONZALEZ,HANSON,
,REPUBLICAN,DEMOCRATIC,
,,,
KAW,237,253,
KILMER,73,67,
NORTH TECUMSEH,182,244,
SIOUX,233,198,
STINSON CREEK,89,84,
,,,
TOTALS,814,846,
,,,
KANSAS HOUSE DISTRICT 050,GATEWOOD,POWELL,
,DEMOCRATIC,REPUBLICAN,
,,,
APACHE,202,237,
DOVER,140,204,
EAST SILVER LAKE,275,285,
EAST SOLDIER,263,258,
EAST WICHITA,434,488,
ELMONT,292,345,
FOX,230,287,
GROVE,117,197,
INDIANOLA,215,298,
IROQUIS,204,299,
KIRO,211,304,
LITTLE MUDDY CREEK,130,175,
MESSHOSS CREEK,97,191,
POTTAWATOMIE,254,295,
ROCHESTER,196,228,
SAC,226,320,
SHERMAN,214,268,
TOPEKA WARD 01 PRECINCT 05,267,224,
TOPEKA WARD 01 PRECINCT 06,260,269,
WEST SILVER LAKE,179,207,
WEST WICHITA,117,120,
WHITFIELD,207,195,
WILLARD,143,212,
YUCCA,40,80,
,,,
TOTALS,4913,5986,
,,,
KANSAS HOUSE DISTRICT 051,HIGHLAND,PIKUL,
,REPUBLICAN,DEMOCRATIC,
,,,
EAST ROSSVILLE,281,160,
WEST ROSSVILLE,220,106,
,,,
TOTALS,501,266,
,,,
KANSAS HOUSE DISTRICT 052,ENSLEY,GANDHIL,
,DEMOCRATIC,REPUBLICAN,
,,,
ALDERSGATE,120,115,
CENTRAL MISSION,242,351,
GAILLARDIA,187,260,
INDIAN HILLS,201,256,
NORTH MISSION,56,88,
SHERWOOD,199,238,
SOUTH MISSION,154,181,
SOUTH SHERWOOD,130,223,
SUNFLOWER,267,479,
TOPEKA WARD 12 PRECINCT 05,198,198,
TOPEKA WARD 12 PRECINCT 06,287,199,
TOPEKA WARD 12 PRECINCT 07,262,209,
TOPEKA WARD 12 PRECINCT 08,264,211,
TOPEKA WARD 12 PRECINCT 11,308,386,
TOPEKA WARD 12 PRECINCT 14,175,211,
TOPEKA WARD 12 PRECINCT 15,339,304,
TOPEKA WARD 12 PRECINCT 16,382,282,
TOPEKA WARD 12 PRECINCT 20,263,263,
TOPEKA WARD 13 PRECINCT 02,83,68,
TOPEKA WARD 13 PRECINCT 06,23,81,
TOPEKA WARD 13 PRECINCT 09,32,52,
TOPEKA WARD 13 PRECINCT 12,241,359,
TOPEKA WARD 13 PRECINCT 21,58,31,
TOPEKA WARD 13 PRECINCT 22,38,38,
TOPEKA WARD 14 PRECINCT 04,235,412,
TOPEKA WARD 14 PRECINCT 05,98,283,
VACQUERO,180,178,
WASHBURN,160,203,
YORK,221,277,
YORK OUTER,22,36,
,,,
TOTALS,5425,6472,
,,,
KANSAS HOUSE DISTRICT 053,BURGESS,TIETZE,
,REPUBLICAN,DEMOCRATIC,
,,,
TOPEKA WARD 10 PRECINCT 01,143,255,
TOPEKA WARD 10 PRECINCT 02,202,186,
